iter	RMSE
955	0.6190698815
956	0.6190637477
957	0.6190618643
958	0.6190569742
959	0.6190551666
960	0.619053205
961	0.6190507628
962	0.6190378447
963	0.6190371149
964	0.6190255433
965	0.6190240964
966	0.6190143568
967	0.6190129743
968	0.6190112274
969	0.6190076474
970	0.618993809
971	0.618969464
972	0.6189360746
973	0.6189340561
974	0.6189315347
975	0.6189040309
976	0.6189040309
977	0.6188890263
978	0.6188857148
979	0.6188844926
980	0.6188788675
981	0.618873299
982	0.6188637597
983	0.6188622801
984	0.6188541888
985	0.6188500742
986	0.6188441662
987	0.6188312674
988	0.6188199269
989	0.6188182112
990	0.618814846
991	0.618812549
992	0.6188069094
993	0.6187951781
994	0.6187931741
995	0.61879013
996	0.6187886389
997	0.618781633
998	0.6187790038
999	0.6187768125
1000	0.6187752264
1001	0.6187738285
1002	0.6187723659
1003	0.6187697006
1004	0.6187697005
1005	0.6187690299
1006	0.6187675083
1007	0.6187375034
1008	0.6187356856
1009	0.6187273428
1010	0.6187180453
1011	0.6187103219
1012	0.6187103218
1013	0.6187059923
1014	0.6187059313
1015	0.6187030086
1016	0.6186974037
1017	0.61869685
1018	0.6186926347
1019	0.6186886408
1020	0.6186849796
1021	0.6186781431
1022	0.6186757514
1023	0.6186710645
1024	0.6186622591
1025	0.6186598495
1026	0.61865541
1027	0.6186554099
1028	0.6186500381
1029	0.6186434002
1030	0.6186375657
1031	0.6186337587
1032	0.6186332224
1033	0.6186290123
1034	0.6186238805
1035	0.6186172147
1036	0.6186132468
1037	0.6186088549
1038	0.6186056391
1039	0.6186052038
1040	0.6185854376
1041	0.6185827185
1042	0.6185704285
1043	0.6185681369
1044	0.6185640865
1045	0.6185623603
1046	0.6185604977
1047	0.6185561191
1048	0.6185561187
1049	0.61854603
1050	0.6185441981
1051	0.6185301143
1052	0.6185284889
1053	0.6185067171
1054	0.6185025068
1055	0.6184935801
1056	0.6184922582
1057	0.6184922581
1058	0.61848969
1059	0.6184871048
1060	0.6184831977
1061	0.6184799388
1062	0.6184765011
1063	0.6184633225
1064	0.618459717
1065	0.6184558073
1066	0.6184526244
1067	0.6184492725
1068	0.6184472094
1069	0.6184445807
1070	0.6184294041
1071	0.6184242836
1072	0.6184242835
1073	0.6184202692
1074	0.6184165266
1075	0.6184151918
1076	0.6184125128
1077	0.6184100217
1078	0.618402744
1079	0.6183939335
1080	0.6183853814
1081	0.6183852625
1082	0.6183783664
1083	0.6183599572
1084	0.6183497618
1085	0.6183477589
1086	0.6183413858
1087	0.6183294103
1088	0.6183294102
1089	0.6183281649
1090	0.6183281649
1091	0.6183249251
1092	0.6183159264
1093	0.6183154006
1094	0.618310132
1095	0.6183089438
1096	0.6183056548
1097	0.6183049413
1098	0.6183028861
1099	0.6183018554
1100	0.6183003809
1101	0.6182968038
1102	0.6182943778
1103	0.6182926255
1104	0.6182884195
1105	0.6182876139
1106	0.6182872049
1107	0.6182867094
1108	0.6182815259
1109	0.6182751707
1110	0.6182751707
1111	0.6182645237
1112	0.6182604515
1113	0.6182555261
1114	0.6182547288
1115	0.6182492597
1116	0.6182435982
1117	0.6182405913
1118	0.6182377504
1119	0.6182256703
1120	0.6182128025
1121	0.6182123824
1122	0.6182094806
1123	0.6182030649
1124	0.618201312
1125	0.6181985991
1126	0.6181944401
1127	0.6181710485
1128	0.6181693442
1129	0.6181675282
1130	0.6181647806
1131	0.6181580569
1132	0.6181569165
1133	0.6181487829
1134	0.6181478952
1135	0.6181406529
1136	0.6181391933
1137	0.6181384464
1138	0.6181309405
1139	0.6181231387
1140	0.6181158518
1141	0.6181094924
1142	0.6181031715
1143	0.6181014749
1144	0.6180882192
1145	0.618088219
1146	0.6180846462
1147	0.6180825144
1148	0.618079369
1149	0.6180780105
1150	0.618076094
1151	0.6180744801
1152	0.6180732081
1153	0.6180703685
1154	0.618070368
1155	0.6180685434
1156	0.6180666609
1157	0.6180616464
1158	0.6180557485
1159	0.6180528672
1160	0.6180464904
1161	0.6180416424
1162	0.6180292776
1163	0.6180282625
1164	0.6180238508
1165	0.6180103332
1166	0.6180076777
1167	0.6180043043
1168	0.618003423
1169	0.6180012076
1170	0.6179989304
1171	0.6179862141
1172	0.617983432
1173	0.6179811127
1174	0.6179777427
1175	0.6179751714
1176	0.6179726643
1177	0.6179699269
1178	0.6179652468
1179	0.6179505162
1180	0.6179482292
1181	0.6179482286
1182	0.6179472179
1183	0.6179460079
1184	0.6179433998
1185	0.6179401682
1186	0.6179341709
1187	0.6179299474
1188	0.6179277047
1189	0.6179249141
1190	0.6179225518
1191	0.6179225513
1192	0.6179222047
